Airline_Name,Airport_Name,Highest_Avg_Departure_Delay
"Alaska Airlines Inc.: AS",Chicago,14.1200
"Allegiant Air: G4","San Antonio",75.1765
"American Airlines Inc.: AA",Jackson,55.9155
"Delta Air Lines Inc.: DL",Chattanooga,42.0185
"Endeavor Air Inc.: 9E",Mobile,120.1538
"Envoy Air: MQ",Missoula,48.9375
"ExpressJet Airlines LLC: EV",Minneapolis,79.9630
"Frontier Airlines Inc.: F9",Pittsburgh,75.7500
"Hawaiian Airlines Inc.: HA","Pago Pago",71.8462
"JetBlue Airways: B6",Hyannis,41.9524
"Mesa Airlines Inc.: YV",Syracuse,104.8571
"PSA Airlines Inc.: OH",Greenville,38.2336
"Republic Airline: YX",Harrisburg,85.1818
"SkyWest Airlines Inc.: OO",Charleston,69.7273
"Southwest Airlines Co.: WN",Greer,28.0000
"Spirit Air Lines: NK",Hartford,35.0866
"United Air Lines Inc.: UA",Hilo,46.8667
